timestamp;x;y;l_x;l_y;r_x;r_y;pupil_l;pupil_r;event_type;fixation_x;fixation_y;event_duration;fixation_id;saccade_id;start_time;end_time
1236.0;1652.2634887695312;400.4523468017578;0.6402764320373535;0.2805435955524444;0.6454154253005981;0.2780919075012207;2.9957427978515625;2.874374389648437;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1240.0;1638.9163208007812;384.42097663879395;0.6388072967529297;0.2735791206359863;0.6402016878128052;0.266959011554718;3.0194549560546875;2.8763885498046875;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1244.0;1635.9689331054688;383.2516622543335;0.6396037936210632;0.2765188813209533;0.6390503644943237;0.2661469876766205;3.018463134765625;2.878173828125;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1248.0;1642.6689147949219;377.70652770996094;0.6447746753692627;0.2701608836650848;0.6416675448417664;0.262296199798584;3.0083770751953125;2.8968048095703125;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1252.0;1634.86328125;389.40872669219965;0.643243670463562;0.2758912146091461;0.6386184692382812;0.2704227268695831;3.0106964111328125;2.87847900390625;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1256.0;1638.1460571289062;389.92409706115717;0.6401498317718506;0.2839405834674835;0.639900803565979;0.2707806229591369;3.00958251953125;2.888412475585937;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1260.0;1640.0712585449219;393.71764183044434;0.6406911611557007;0.2818424105644226;0.6406528353691101;0.2734150290489197;2.993011474609375;2.8715057373046875;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1264.0;1643.5787963867188;398.6168575286865;0.6413798928260803;0.2772273123264313;0.642022967338562;0.276817262172699;3.002349853515625;2.876129150390625;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1268.0;1639.1188049316406;398.1652164459228;0.6422125697135925;0.2765726447105407;0.6402807831764221;0.2765036225318908;3.0080718994140625;2.8717498779296875;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1272.0;1637.1957397460938;397.21348285675043;0.6440397500991821;0.2716275453567505;0.6395295858383179;0.2758426964282989;3.0023956298828125;2.906890869140625;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1276.0;1641.6049194335938;389.67162609100336;0.6421394944190979;0.2774020433425903;0.6412519216537476;0.2706052958965301;2.9967041015625;2.877410888671875;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1280.0;1636.2101745605469;394.5935869216919;0.6417050361633301;0.2742585837841034;0.6391445994377136;0.2740233242511749;3.0050506591796875;2.8852081298828125;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1284.0;1640.8134460449219;388.5314512252807;0.6423299908638;0.2770396173000335;0.6409427523612976;0.2698135077953338;3.01287841796875;2.8947906494140625;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1288.0;1649.6318054199219;394.9816703796386;0.6420883536338806;0.2754406034946441;0.644387423992157;0.2742928266525268;2.990875244140625;2.893768310546875;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1292.0;1638.0160522460938;392.6024866104126;0.6440123915672302;0.2724888622760772;0.6398500204086304;0.2726406157016754;2.9805450439453125;2.888778686523437;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1296.0;1640.2108764648438;392.00600624084467;0.6412417888641357;0.2737064361572265;0.6407073736190796;0.2722263932228088;2.9759063720703125;2.884765625;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1300.0;1627.960205078125;386.7220544815063;0.6425650119781494;0.2737563848495483;0.6359219551086426;0.2685569822788238;2.9907684326171875;2.889266967773437;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1304.0;1631.3935852050781;383.80964756011963;0.6425644159317017;0.268260657787323;0.6372631192207336;0.2665344774723053;2.98779296875;2.8816070556640625;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
1308.0;1634.2669677734375;390.71142196655273;0.6404494643211365;0.2714293301105499;0.638385534286499;0.2713273763656616;2.998291015625;2.8774871826171875;Fixation;1646.0453680006124;398.4245535074654;468.0;6.0;;1124.0;1592.0
