fixation_id;start_time;end_time;norm_pos_x;norm_pos_y;timestamp;event_type;duration;saccade_id;x;y
;1755694143.354;1755694144.488;;;1755694143.354;Saccade;1.1339998245239258;49.0;1155.9100748697915;132.79931640625003
55.0;1755694144.521;1755694144.888;1076.46919880757;637.0912783482745;1755694144.521;Fixation;0.36700010299682617;;;
56.0;1755694144.921;1755694145.121;0.0;1440.0;1755694144.921;Fixation;0.20000004768371582;;;
;1755694145.155;1755694145.321;;;1755694145.155;Saccade;0.1660001277923584;50.0;1842.4138997395833;-18.738932291666643
57.0;1755694145.355;1755694146.221;1612.9950804796952;161.8294690621641;1755694145.355;Fixation;0.8659999370574951;;;
;1755694146.255;1755694148.421;;;1755694146.255;Saccade;2.1659998893737793;51.0;1650.5979817708335;192.86995442708317
58.0;1755694148.455;1755694148.588;985.4949381510417;387.4803873697916;1755694148.455;Fixation;0.13300013542175293;;;
;1755694148.621;1755694148.621;;;1755694148.621;Saccade;0.0;52.0;1010.422607421875;392.26025390624983
59.0;1755694148.655;1755694149.488;1238.9117234446755;526.4675651146492;1755694148.655;Fixation;0.8329999446868896;;;
;1755694149.521;1755694149.655;;;1755694149.521;Saccade;0.13400006294250488;53.0;1297.9638671875;478.32706705729163
60.0;1755694149.688;1755694150.221;1337.8745399156187;387.9555315533364;1755694149.688;Fixation;0.5329999923706055;;;
61.0;1755694150.255;1755694150.388;0.0;1440.0;1755694150.255;Fixation;0.13299989700317383;;;
;1755694150.421;1755694150.555;;;1755694150.421;Saccade;0.13400006294250488;54.0;1037.9859212239583;580.7966308593749
62.0;1755694150.588;1755694152.455;1186.6466721037573;545.1028946029885;1755694150.588;Fixation;1.866999864578247;;;
;1755694152.488;1755694152.521;;;1755694152.488;Saccade;0.03299999237060547;55.0;1204.5882161458333;481.0760091145833
63.0;1755694152.555;1755694152.955;1039.7044222664374;534.9617475158345;1755694152.555;Fixation;0.39999985694885254;;;
;1755694152.988;1755694153.188;;;1755694152.988;Saccade;0.20000004768371582;56.0;1044.7054850260415;568.3936360677083
64.0;1755694153.221;1755694153.555;1164.306179412448;555.4446647807389;1755694153.221;Fixation;0.3340001106262207;;;
;1755694153.588;1755694153.821;;;1755694153.588;Saccade;0.2330000400543213;57.0;1167.2264811197917;570.0328776041666
65.0;1755694153.855;1755694154.055;0.0;1440.0;1755694153.855;Fixation;0.20000004768371582;;;
