saccade_id;fixation_id;timestamp;x;y;video_frame_count;event_type;norm_pos_x;norm_pos_y;duration;start_time;end_time
;19.0;1755694082.554;0.0;1440.0;99;Fixation;0.0;1440.0;0.20000004768371582;1755694083.187;1755694083.187
22.0;;1755694082.787;887.3147786458333;515.7579752604166;99;Saccade;;;0.0;1755694086.187;1755694086.187
;20.0;1755694083.187;984.9872233072916;488.04785156249994;102;Fixation;985.7726693381816;476.1730797553541;2.8329999446868896;1755694086.054;1755694086.054
;21.0;1755694086.054;0.0;1440.0;152;Fixation;0.0;1440.0;0.10000014305114746;1755694087.054;1755694087.054
23.0;;1755694086.187;1929.9742838541667;269.1502278645833;156;Saccade;;;0.0;1755694087.22;1755694087.22
;22.0;1755694087.054;1543.3688151041667;331.42700195312483;165;Fixation;1547.9747721354165;332.6198567708333;0.13300013542175293;1755694087.62;1755694087.62
24.0;;1755694087.22;1350.260498046875;298.99804687499983;165;Saccade;;;0.0;1755694087.854;1755694087.854
;23.0;1755694087.62;1173.6043294270833;285.17333984375;169;Fixation;1169.271286737351;283.8671061197916;0.20000004768371582;1755694087.987;1755694087.987
25.0;;1755694087.854;0.0;1440.0;172;Saccade;;;0.0;1755694088.654;1755694088.654
;24.0;1755694087.987;1569.51611328125;350.5267740885417;175;Fixation;1539.436422679966;357.5192702257444;0.6329998970031738;1755694089.587;1755694089.587
26.0;;1755694088.654;1259.8115234375;282.5047200520833;190;Saccade;;;0.0;1755694091.587;1755694091.587
;25.0;1755694089.587;944.062255859375;462.55891927083326;204;Fixation;936.2828084536304;451.5888220626312;12.367000102996826;1755694101.987;1755694101.987
27.0;;1755694091.587;916.9611002604165;461.2858886718749;243;Saccade;;;0.0;1755694100.487;1755694100.487
28.0;;1755694100.487;0.0;1440.0;487;Saccade;;;0.0;1755694102.154;1755694102.154
;26.0;1755694101.987;0.0;1440.0;533;Fixation;0.0;1440.0;0.13400006294250488;1755694102.754;1755694102.754
29.0;;1755694102.154;1896.8870442708335;239.15690104166669;538;Saccade;;;0.0;1755694103.054;1755694103.054
;27.0;1755694102.754;1207.9971516927085;387.812744140625;555;Fixation;1182.901631010857;379.1885105700187;0.567000150680542;1755694104.587;1755694104.587
30.0;;1755694103.054;1169.8729654947917;384.0983072916666;559;Saccade;;;0.0;1755694103.354;1755694103.354
31.0;;1755694103.354;1141.1481119791667;339.24169921875006;564;Saccade;;;0.0;1755694104.754;1755694104.754
;28.0;1755694104.587;725.7763671875;340.54028320312494;587;Fixation;730.0703776041667;343.41894531249994;0.13400006294250488;1755694105.587;1755694105.587
32.0;;1755694104.754;738.9997558593748;336.55631510416663;590;Saccade;;;0.0;1755694105.721;1755694105.721
;29.0;1755694105.587;1063.9611816406248;378.33951822916663;608;Fixation;1069.777587890625;377.99713134765614;0.10000014305114746;1755694107.087;1755694107.087
33.0;;1755694105.721;1093.126220703125;376.9772949218749;610;Saccade;;;0.0;1755694107.221;1755694107.221
;30.0;1755694107.087;651.7813720703124;385.527099609375;637;Fixation;656.2481282552084;384.39418538411456;0.10000014305114746;1755694107.587;1755694107.587
34.0;;1755694107.221;675.6167805989584;381.49552408854163;639;Saccade;;;0.0;1755694107.887;1755694107.887
;31.0;1755694107.587;1296.8779296875;360.9825846354166;650;Fixation;1295.2394657841435;359.616138599537;0.2670001983642578;1755694107.954;1755694107.954
35.0;;1755694107.887;1285.9344075520833;358.3403320312499;659;Saccade;;;0.0;1755694108.187;1755694108.187
;32.0;1755694107.954;760.9077148437498;335.1726888020833;661;Fixation;773.3936593191963;337.7012416294643;0.20000004768371582;1755694108.787;1755694108.787
36.0;;1755694108.187;775.5850423177083;333.0917154947916;668;Saccade;;;0.0;1755694109.254;1755694109.254
;33.0;1755694108.787;1892.4130859375;370.16975911458337;686;Fixation;1892.1855535944403;379.24143431672854;0.43400001525878906;1755694109.354;1755694109.354
37.0;;1755694109.254;0.0;1440.0;700;Saccade;;;0.0;1755694110.421;1755694110.421
;34.0;1755694109.354;695.1145833333333;362.88899739583326;703;Fixation;712.8547833527969;359.72113704718686;1.0329999923706055;1755694110.454;1755694110.454
38.0;;1755694110.421;993.2987467447915;340.6660970052083;734;Saccade;;;0.0;1755694110.687;1755694110.687
;35.0;1755694110.454;1193.2981770833335;343.50594075520837;736;Fixation;1197.2910388764883;343.6623767671131;0.20000004768371582;1755694110.921;1755694110.921
39.0;;1755694110.687;1224.635498046875;346.627685546875;742;Saccade;;;0.0;1755694111.321;1755694111.321
;36.0;1755694110.921;715.7870279947915;337.0891927083333;750;Fixation;730.2791562124806;342.5539699928796;0.3659999370574951;1755694111.587;1755694111.587
40.0;;1755694111.321;714.724609375;342.29744466145837;762;Saccade;;;0.0;1755694111.921;1755694111.921
;37.0;1755694111.587;1232.8282877604165;342.39054361979163;770;Fixation;1205.2678185066031;338.4636483840859;0.3000001907348633;1755694112.021;1755694112.021
41.0;;1755694111.921;1193.6121419270833;329.78670247395837;780;Saccade;;;0.0;1755694112.487;1755694112.487
;38.0;1755694112.021;690.748779296875;303.693359375;783;Fixation;683.9768660544498;301.5102540796632;0.4330000877380371;1755694112.521;1755694112.521
42.0;;1755694112.487;1003.946044921875;310.8445638020833;797;Saccade;;;0.0;1755694112.654;1755694112.654
;39.0;1755694112.521;1176.4343261718748;317.41300455729163;798;Fixation;1205.099161783854;328.9651184082031;0.33300018310546875;1755694113.454;1755694113.454
43.0;;1755694112.654;1194.248046875;320.7015787760417;801;Saccade;;;0.0;1755694112.887;1755694112.887
44.0;;1755694112.887;1253.7835286458333;345.8358561197916;809;Saccade;;;0.0;1755694113.621;1755694113.621
;40.0;1755694113.454;0.0;1440.0;826;Fixation;0.0;1440.0;0.13299989700317383;1755694114.321;1755694114.321
45.0;;1755694113.621;1029.175537109375;515.3252766927083;831;Saccade;;;0.0;1755694114.487;1755694114.487
;41.0;1755694114.321;1452.4093424479167;498.7186686197915;851;Fixation;1454.1814453125003;492.0240722656249;0.13299989700317383;1755694116.354;1755694116.354
46.0;;1755694114.487;1460.0524088541667;482.42488606770826;853;Saccade;;;0.0;1755694116.787;1755694116.787
;42.0;1755694116.354;1044.0728352864583;264.08951822916663;907;Fixation;1054.4563723281963;279.7345509427488;1.0329999923706055;1755694117.454;1755694117.454
47.0;;1755694116.787;1048.4047037760415;267.65388997395826;919;Saccade;;;0.0;1755694117.421;1755694117.421
48.0;;1755694117.421;1044.5711263020833;312.20808919270837;938;Saccade;;;0.0;1755694118.121;1755694118.121
;43.0;1755694117.454;0.0;1440.0;938;Fixation;0.0;1440.0;2.4670000076293945;1755694120.521;1755694120.521
49.0;;1755694118.121;962.2926432291666;530.5265299479166;957;Saccade;;;0.0;1755694118.987;1755694118.987
50.0;;1755694118.987;868.987548828125;199.55859374999994;981;Saccade;;;0.0;1755694119.954;1755694119.954
51.0;;1755694119.954;1035.2423502604165;502.0340169270833;1007;Saccade;;;0.0;1755694120.654;1755694120.654
;44.0;1755694120.521;1473.9078776041665;503.31201171875006;1020;Fixation;1470.7650960286458;506.03497314453125;0.10000014305114746;1755694124.454;1755694124.454
52.0;;1755694120.654;1462.00439453125;518.6694335937499;1025;Saccade;;;0.0;1755694124.854;1755694124.854
;45.0;1755694124.454;1049.3940429687498;385.0155436197917;1138;Fixation;1049.979759330513;399.50225105009343;0.36700010299682617;1755694125.121;1755694125.121
53.0;;1755694124.854;1070.8582356770833;398.12687174479163;1149;Saccade;;;0.0;1755694125.288;1755694125.288
;46.0;1755694125.121;1503.3416341145833;783.6844075520833;1158;Fixation;1499.0935872395835;789.1060872395832;0.13299989700317383;1755694125.354;1755694125.354
54.0;;1755694125.288;1505.7185872395835;815.2060546875;1162;Saccade;;;0.0;1755694125.554;1755694125.554
;47.0;1755694125.354;0.0;1440.0;1164;Fixation;0.0;1440.0;6.599999904632568;1755694132.554;1755694132.554
55.0;;1755694125.554;1178.3404134114583;505.9439290364583;1170;Saccade;;;0.0;1755694127.654;1755694127.654
56.0;;1755694127.654;1034.2967122395833;519.2266438802083;1233;Saccade;;;0.0;1755694131.988;1755694131.988
57.0;;1755694131.988;1260.587158203125;313.90633138020826;1360;Saccade;;;0.0;1755694133.588;1755694133.588
;48.0;1755694132.554;1116.1454264322915;424.07259114583326;1377;Fixation;1112.0322534277345;419.1000306281711;1.0;1755694134.221;1755694134.221
58.0;;1755694133.588;960.6765950520834;393.6790364583333;1407;Saccade;;;0.0;1755694134.388;1755694134.388
;49.0;1755694134.221;854.0032552083334;739.6043294270833;1425;Fixation;861.2326171875;736.5170898437499;0.13300013542175293;1755694135.721;1755694135.721
59.0;;1755694134.388;881.7766113281249;721.351806640625;1430;Saccade;;;0.0;1755694136.054;1755694136.054
;50.0;1755694135.721;1221.8760579427083;722.0530598958334;1467;Fixation;1221.8971272786457;732.6201578776042;0.2999999523162842;1755694136.988;1755694136.988
60.0;;1755694136.054;1228.26953125;732.0147298177083;1478;Saccade;;;0.0;1755694137.388;1755694137.388
;51.0;1755694136.988;1280.5508626302083;522.0326334635416;1505;Fixation;1275.6861787293055;479.73526821911355;1.5329999923706055;1755694138.721;1755694138.721
61.0;;1755694137.388;1280.1971028645833;499.38061523437494;1517;Saccade;;;0.0;1755694138.554;1755694138.554
62.0;;1755694138.554;1238.630859375;494.7256673177083;1552;Saccade;;;0.0;1755694139.121;1755694139.121
;52.0;1755694138.721;1205.8899739583333;713.6984863281249;1556;Fixation;1204.683929275257;732.7441330346757;0.36700010299682617;1755694139.521;1755694139.521
63.0;;1755694139.121;970.9237467447916;634.1236165364583;1568;Saccade;;;0.0;1755694140.021;1755694140.021
;53.0;1755694139.521;917.8566080729165;551.943603515625;1580;Fixation;934.1297171216422;538.7214200781042;0.46700000762939453;1755694143.221;1755694143.221
64.0;;1755694140.021;949.9268391927083;538.3860677083334;1594;Saccade;;;0.0;1755694143.354;1755694143.354
;54.0;1755694143.221;1229.3579101562498;368.42675781249994;1689;Fixation;1235.3142700195312;372.3089599609375;0.10000014305114746;1755694144.521;1755694144.521
65.0;;1755694143.354;1155.9100748697915;132.79931640625003;1692;Saccade;;;0.0;1755694144.688;1755694144.688
;55.0;1755694144.521;1050.5084635416665;647.7378743489584;1728;Fixation;1076.46919880757;637.0912783482745;0.36700010299682617;1755694144.921;1755694144.921
66.0;;1755694144.688;1068.7888997395833;636.9073893229167;1731;Saccade;;;0.0;1755694145.155;1755694145.155
;56.0;1755694144.921;0.0;1440.0;1737;Fixation;0.0;1440.0;0.20000004768371582;1755694145.355;1755694145.355
67.0;;1755694145.155;1842.4138997395833;-18.738932291666643;1746;Saccade;;;0.0;1755694145.521;1755694145.521
;57.0;1755694145.355;1596.0169270833333;126.79752604166654;1752;Fixation;1612.9950804796952;161.8294690621641;0.8659999370574951;1755694148.455;1755694148.455
68.0;;1755694145.521;1614.1458333333333;131.8937988281249;1757;Saccade;;;0.0;1755694145.755;1755694145.755
69.0;;1755694145.755;1603.14306640625;163.31176757812491;1763;Saccade;;;0.0;1755694146.255;1755694146.255
70.0;;1755694146.255;1650.5979817708335;192.86995442708317;1777;Saccade;;;0.0;1755694148.621;1755694148.621
;58.0;1755694148.455;982.5139973958334;385.95751953124994;1843;Fixation;985.4949381510417;387.4803873697916;0.13300013542175293;1755694148.655;1755694148.655
71.0;;1755694148.621;1010.422607421875;392.26025390624983;1849;Saccade;;;0.0;1755694148.788;1755694148.788
;59.0;1755694148.655;1193.9173990885415;486.6087239583333;1851;Fixation;1238.9117234446755;526.4675651146492;0.8329999446868896;1755694149.688;1755694149.688
72.0;;1755694148.788;1212.9870605468748;496.9164225260416;1854;Saccade;;;0.0;1755694149.221;1755694149.221
73.0;;1755694149.221;1250.3644205729165;540.54638671875;1867;Saccade;;;0.0;1755694149.521;1755694149.521
74.0;;1755694149.521;1297.9638671875;478.32706705729163;1876;Saccade;;;0.0;1755694149.821;1755694149.821
;60.0;1755694149.688;1354.1568196614583;391.0597330729166;1881;Fixation;1337.8745399156187;387.9555315533364;0.5329999923706055;1755694150.255;1755694150.255
75.0;;1755694149.821;1354.156005859375;356.14843749999994;1884;Saccade;;;0.0;1755694150.421;1755694150.421
;61.0;1755694150.255;0.0;1440.0;1899;Fixation;0.0;1440.0;0.13299989700317383;1755694150.588;1755694150.588
76.0;;1755694150.421;1037.9859212239583;580.7966308593749;1903;Saccade;;;0.0;1755694151.655;1755694151.655
;62.0;1755694150.588;1176.6930338541665;601.4015299479166;1908;Fixation;1186.6466721037573;545.1028946029885;1.866999864578247;1755694152.555;1755694152.555
77.0;;1755694151.655;1180.4892578125;538.267822265625;1939;Saccade;;;0.0;1755694152.488;1755694152.488
78.0;;1755694152.488;1204.5882161458333;481.0760091145833;1965;Saccade;;;0.0;1755694152.721;1755694152.721
;63.0;1755694152.555;1023.0548502604165;511.0900065104167;1968;Fixation;1039.7044222664374;534.9617475158345;0.39999985694885254;1755694153.221;1755694153.221
79.0;;1755694152.721;1041.876220703125;530.0532226562501;1971;Saccade;;;0.0;1755694152.988;1755694152.988
80.0;;1755694152.988;1044.7054850260415;568.3936360677083;1979;Saccade;;;0.0;1755694153.588;1755694153.588
;64.0;1755694153.221;1175.7119954427083;555.0328776041666;1987;Fixation;1164.306179412448;555.4446647807389;0.3340001106262207;1755694153.855;1755694153.855
81.0;;1755694153.588;1167.2264811197917;570.0328776041666;1998;Saccade;;;0.0;1755694154.088;1755694154.088
;65.0;1755694153.855;0.0;1440.0;2006;Fixation;0.0;1440.0;0.20000004768371582;1755694154.588;1755694154.588
82.0;;1755694154.088;1233.3011881510415;-40.06315104166656;2014;Saccade;;;0.0;1755694154.821;1755694154.821
;66.0;1755694154.588;1231.3603515625;170.08886718749997;2028;Fixation;1234.4823753720234;173.97200520833326;0.20000004768371582;1755694154.888;1755694154.888
83.0;;1755694154.821;1229.0250651041667;151.83089192708323;2035;Saccade;;;0.0;1755694155.088;1755694155.088
;67.0;1755694154.888;0.0;1440.0;2036;Fixation;0.0;1440.0;0.7999999523162842;1755694157.021;1755694157.021
84.0;;1755694155.088;1010.7613932291666;919.8306477864584;2043;Saccade;;;0.0;1755694155.721;1755694155.721
85.0;;1755694155.721;1275.3589680989583;81.00496419270826;2062;Saccade;;;0.0;1755694157.188;1755694157.188
;68.0;1755694157.021;1164.2321777343748;177.84855143229154;2099;Fixation;1199.6290985158626;164.75197545924644;0.46700000762939453;1755694157.655;1755694157.655
86.0;;1755694157.188;1179.9945475260417;163.1904296875;2104;Saccade;;;0.0;1755694157.521;1755694157.521
87.0;;1755694157.521;1106.3587239583333;186.67439778645837;2114;Saccade;;;0.0;1755694157.788;1755694157.788
;69.0;1755694157.655;1056.756591796875;196.7928059895834;2117;Fixation;1047.4104817708333;198.00539143880206;0.10000014305114746;1755694157.855;1755694157.855
88.0;;1755694157.788;1028.2490234375;201.37418619791674;2121;Saccade;;;0.0;1755694158.421;1755694158.421
;70.0;1755694157.855;1255.00537109375;154.45231119791669;2122;Fixation;1245.5478705091598;153.28608201316325;4.665999889373779;1755694162.688;1755694162.688
89.0;;1755694158.421;1394.765625;137.27644856770823;2140;Saccade;;;0.0;1755694159.088;1755694159.088
90.0;;1755694159.088;0.0;1440.0;2159;Saccade;;;0.0;1755694159.588;1755694159.588
91.0;;1755694159.588;1201.16064453125;162.36263020833331;2173;Saccade;;;0.0;1755694160.088;1755694160.088
92.0;;1755694160.088;1270.6378580729165;153.21215820312506;2189;Saccade;;;0.0;1755694161.221;1755694161.221
93.0;;1755694161.221;1281.6575520833335;122.53653971354174;2222;Saccade;;;0.0;1755694161.488;1755694161.488
94.0;;1755694161.488;1308.1318359375;120.70345052083334;2230;Saccade;;;0.0;1755694161.888;1755694161.888
95.0;;1755694161.888;1265.4816894531248;146.01489257812506;2241;Saccade;;;0.0;1755694162.555;1755694162.555
96.0;;1755694162.555;1216.876708984375;86.29728190104153;2263;Saccade;;;0.0;1755694162.988;1755694162.988
;71.0;1755694162.688;0.0;1440.0;2265;Fixation;0.0;1440.0;0.2669999599456787;1755694164.921;1755694164.921
97.0;;1755694162.988;974.4537760416665;805.9775390625;2274;Saccade;;;0.0;1755694165.288;1755694165.288
